setup,model,metric,mean,std
Setup0_HVG3000,LogisticRegression,accuracy,0.7925403225806452,0.060913794616735066
Setup0_HVG3000,LogisticRegression,precision,0.8034537430532854,0.06297608522325254
Setup0_HVG3000,LogisticRegression,recall,0.8578947368421053,0.05698679632785884
Setup0_HVG3000,LogisticRegression,f1,0.8276700495276346,0.04486969800477802
Setup0_HVG3000,RandomForest,accuracy,0.8431451612903226,0.0679217084645934
Setup0_HVG3000,RandomForest,precision,0.8290874244434615,0.08153330480990699
Setup0_HVG3000,RandomForest,recall,0.9345029239766081,0.04037205986922388
Setup0_HVG3000,RandomForest,f1,0.8758836219301337,0.04617693020704675
Setup0_HVG3000,SVC,accuracy,0.8366935483870968,0.045293405544826
Setup0_HVG3000,SVC,precision,0.8146307798481711,0.04774510475239519
Setup0_HVG3000,SVC,recall,0.9345029239766081,0.04037205986922388
Setup0_HVG3000,SVC,f1,0.8693528693528693,0.032332333660881236
Setup1_Biological,LogisticRegression,accuracy,0.7612903225806452,0.07980764710164123
Setup1_Biological,LogisticRegression,precision,0.7750627391931739,0.07681458204569579
Setup1_Biological,LogisticRegression,recall,0.8362573099415205,0.09237174853176205
Setup1_Biological,LogisticRegression,f1,0.8013454487486051,0.06650486940109689
Setup1_Biological,RandomForest,accuracy,0.8491935483870968,0.053412581628027075
Setup1_Biological,RandomForest,precision,0.8455310780438658,0.08071775199441977
Setup1_Biological,RandomForest,recall,0.923391812865497,0.06612067380164945
Setup1_Biological,RandomForest,f1,0.8779766790437105,0.03616992160243814
Setup1_Biological,SVC,accuracy,0.811491935483871,0.08350036373583442
Setup1_Biological,SVC,precision,0.8047389865036922,0.08151976699133835
Setup1_Biological,SVC,recall,0.902923976608187,0.07853259028633584
Setup1_Biological,SVC,f1,0.848172965246136,0.06307735329472886
Setup2_Statistical,LogisticRegression,accuracy,0.892741935483871,0.03347381406245211
Setup2_Statistical,LogisticRegression,precision,0.8984126984126984,0.03673497382385423
Setup2_Statistical,LogisticRegression,recall,0.923391812865497,0.07571688098076965
Setup2_Statistical,LogisticRegression,f1,0.9078166278166279,0.03282898074227214
Setup2_Statistical,RandomForest,accuracy,0.8610887096774194,0.06616590238875152
Setup2_Statistical,RandomForest,precision,0.8828571428571429,0.042335449087414996
Setup2_Statistical,RandomForest,recall,0.8789473684210526,0.11345029239766082
Setup2_Statistical,RandomForest,f1,0.8767464114832537,0.06287304265207377
Setup2_Statistical,SVC,accuracy,0.880241935483871,0.061249853999698574
Setup2_Statistical,SVC,precision,0.8903997962821493,0.06093737133892996
Setup2_Statistical,SVC,recall,0.9122807017543859,0.08286778752710339
Setup2_Statistical,SVC,f1,0.8978814553012242,0.050164116743118305
