"from","to","weight"
"GAGE1","GAGE12B",0.836913761336561
"GAGE1","GAGE12C",0.836913761336561
"GAGE12B","GAGE12C",0.836913761336561
"GAGE1","GAGE12D",0.836913761336561
"GAGE12B","GAGE12D",0.836913761336561
"GAGE1","GAGE12E",0.836913761336561
"GAGE12B","GAGE12E",0.836913761336561
"GAGE12C","GAGE12E",0.836913761336561
"GAGE12D","GAGE12E",0.836913761336561
"GAGE1","GAGE12F",0.836913761336561
"GAGE12B","GAGE12F",0.836913761336561
"GAGE12C","GAGE12F",0.836913761336561
"GAGE12D","GAGE12F",0.836913761336561
"GAGE12E","GAGE12F",0.836913761336561
"GAGE1","GAGE12G",0.836913761336561
"GAGE12B","GAGE12G",0.836913761336561
"GAGE12C","GAGE12G",0.836913761336561
"GAGE12D","GAGE12G",0.836913761336561
"GAGE12E","GAGE12G",0.836913761336561
"GAGE12F","GAGE12G",0.836913761336561
"GAGE1","GAGE12H",0.836913761336561
"GAGE12B","GAGE12H",0.836913761336561
"GAGE12C","GAGE12H",0.836913761336561
"GAGE12D","GAGE12H",0.836913761336561
"GAGE12E","GAGE12H",0.836913761336561
"GAGE12F","GAGE12H",0.836913761336561
"GAGE12G","GAGE12H",0.836913761336561
"GAGE1","GAGE12I",0.836913761336561
"GAGE12B","GAGE12I",0.836913761336561
"GAGE12C","GAGE12I",0.836913761336561
"GAGE12D","GAGE12I",0.836913761336561
"GAGE12E","GAGE12I",0.836913761336561
"GAGE12F","GAGE12I",0.836913761336561
"GAGE12G","GAGE12I",0.836913761336561
"GAGE12H","GAGE12I",0.836913761336561
"GAGE1","GAGE12J",0.836913761336561
"GAGE12B","GAGE12J",0.836913761336561
"GAGE12C","GAGE12J",0.836913761336561
"GAGE12D","GAGE12J",0.836913761336561
"GAGE12E","GAGE12J",0.836913761336561
"GAGE12F","GAGE12J",0.836913761336561
"GAGE12G","GAGE12J",0.836913761336561
"GAGE12H","GAGE12J",0.836913761336561
"GAGE12I","GAGE12J",0.836913761336561
"GAGE1","GAGE13",0.836913761336561
"GAGE12B","GAGE13",0.836913761336561
"GAGE12C","GAGE13",0.836913761336561
"GAGE12D","GAGE13",0.836913761336561
"GAGE12E","GAGE13",0.836913761336561
"GAGE12F","GAGE13",0.836913761336561
