"gene","hr","lower","upper","p"
"S100A8",1.5715049064614,0.834473793528679,2.95950297083521,0.161614073025772
"GABRP",0.54985416823248,0.289814495858493,1.0432176811137,0.0671788246935669
"RARRES1",0.71062381912935,0.379629065683825,1.33020955970364,0.285544763911847
"PROM1",0.624446742914714,0.331612127771074,1.17587296145569,0.14477189105636
"S100A9",2.32513250763143,1.19847050792815,4.51095053426924,0.0125818426007506
"ESR1",0.618204171952751,0.328301247626088,1.16410278968863,0.136383692822584
"NAT1",0.680989387623373,0.363676013153676,1.27516396265512,0.229956782704386
"TFF1",1.1208543010237,0.60257518427674,2.08490889917953,0.718622628545126
"SCUBE2",0.666052832135164,0.355704202092542,1.24717777463831,0.204158342320869
"CA12",1.09856669009025,0.590590523408544,2.04346112025404,0.766565760943243
